device_name,discount_price,former_price
"Atouch Atouch ATOUCH K86, Kids Tablet 7 Inch, Android 6.0, 16GB, 1GB DDR3, Wi-Fi, Quad Core, Dual Camera, Pink","₦ 24,000","₦ 35,000"
"Modio Kids Tablet Andriod Modio M1 1GB + 8GB And WiFi, 7 Inch Dual Camera + Google Play With Learning App For Children - Multicolour","₦ 25,000","₦ 35,000"
"Atouch Atouch ATOUCH K86, Kids Tablet 7 Inch, Android 6.0, 16GB, 1GB DDR3, Wi-Fi, Quad Core, Dual Camera, Pink","₦ 24,500","₦ 35,000"
Atouch Q21 ATOUCH EDUCATIONAL TABLET,"₦ 23,000","₦ 35,000"
"Siccoo Siccoo 7inch Kids Educational Tablet Android 6.1,8GB, WiF, Dual Camera With Playstore ","₦ 27,000","₦ 35,000"
"Atouch Atouch K88 Kids Tablet 7 Inch, Android 6.1, 8GB-ROM, Wi-Fi, Dual Core, Dual Camera, Blue Case","₦ 26,500","₦ 35,000"
Atouch ATOUCH K89 KIDS TABLET PC,"₦ 26,000","₦ 35,000"
"Atouch Atouch Atouch ATOUCH K86, Kids Tablet 7 Inch, Android 6.0, 16GB, 1GB DDR3, Wi-Fi, Quad Core, Dual Camera, ","₦ 24,500","₦ 35,000"
"Kurio Tab Junior - RED, 8 GB Storage, + Genius Parental Controls","₦ 39,900","₦ 60,000"
"Cutest Design 7 Inch Android Children Learning & Educational Tablet, Dual Camera, 8G ROM, Wifi, Cartoons, Rhymes, Apps - Blue","₦ 29,999","₦ 65,000"
"Atouch K88 - 7inch Kids Educational Tablet Android 6.1,8GB,WiFi,Dual Camera With Play Store ","₦ 27,500","₦ 65,000"
Disney 7” Android Kids Tablet Bundle By SmarTab + 8GB SD CARD,"₦ 49,900","₦ 65,000"
Atouch Atouch,"₦ 28,000","₦ 65,000"
"Disney AirBook 7"" IPS BT WiFi Android 8.1 Go OS Kids By SmarTab  + 8GB SD CARD","₦ 49,900","₦ 65,000"
Smart 2030 KiDs Tablet Smart 2030 For Kids Visual Learning- 1G Ram- Pink,"₦ 38,000","₦ 48,000"
"Bebe Kids 10.1-inch Tablet Bebe B-2020 Learning Tablet With Dual Sim, WiFi, And Free Pouch","₦ 45,000","₦ 50,000"
"Bebe Kids Educational 10.1-inch Bebe B-2020 Tablet With Dual Sim, WiFi And Free Pouch","₦ 45,000","₦ 50,000"
"Bebe Bebe 10.1 B-2020 Kids Educational Tablet With Dual Sim, WiFi, And Free Pouch","₦ 45,000","₦ 50,000"
"Samsung Galaxy Tab A 8.0, 2GB RAM, 32GB ROM, 4GLTE","₦ 80,500","₦ 95,000"
"Samsung Galaxy Tab A 8.0, 2GB RAM, 32GB ROM, 4GLTE","₦ 80,500","₦ 96,000"
Ccit CCIT JOYEUX NOEL KEDDIES 12 -CHILDREN/KIDS EDUCATIONAL LEARNING TABLET -2G RAM -Blue/Pink,"₦ 32,000","₦ 45,000"
"Modio New Kids Tablet Andriod Modio M1 1GB + 8GB And WiFi, 7 Inch Dual Camera + Google Play With Learning App For Children - Multicolour","₦ 30,000","₦ 40,000"
"Modio Kids Tablet Andriod Modio M3 1GB + 16GB And WiFi, Cartoon Album, Screen Protector, Earphone, Colourful Pen, Touch Pen, 3D Glasses,7 Inch Dual Camera + Google Play With Learning App For Children - Blue","₦ 35,000","₦ 45,000"
Smart 2030 Smart 2030 Kids Educational Learning Tablet -WiFi Support,"₦ 32,000","₦ 44,000"
"Atouch Atouch 7 Inch E-Learning 4G Dual Sim Slot Tablet With Secondary School Pre-Installed App,16GB Storage + Power Bank- Blue Pouch","₦ 38,000","₦ 40,000"
"Bebe Bebe B -2020 Kids Educational Tablet With Dual SIM, WiFi And Free Pouch","₦ 45,000","₦ 50,000"
 7inch WiFi Tablet For Kids-8GB Quad Core Camera-IPS LCD With Study Games,"₦ 27,000","₦ 50,000"
Atouch ATOUCH A12 TABLET PC ,"₦ 30,000","₦ 50,000"
Crony Play And Learn Children-Kids Early Education J8-Android Tablet-1G RAM/16G ROM/WIFI,"₦ 36,000","₦ 52,000"
"Wintouch Wintouch 10inches Kids Educational Tablet With Dual SIM, WiFi And Free Pouch","₦ 48,000","₦ 60,000"
Atouch ATOUCH K89 KIDS TABLET PC,"₦ 29,000","₦ 35,000"
"Wintouch  Kids Educational Tablet With Dual SIM, WiFi And Free Pouch","₦ 45,000","₦ 60,000"
"Atouch Atouch Atouch ATOUCH K86, Kids Tablet 7 Inch, Android 6.0, 16GB, 1GB DDR3, Wi-Fi, Quad Core, Dual Camera,","₦ 29,000","₦ 30,000"
"Atouch Atouch Children Android 6.1 Tablet 7""inch (1GB+8GB) And WiFi","₦ 32,500","₦ 35,000"
"Wintouch K93 Children Educational Tablet 10.0inch+Android,16GB","₦ 35,000","₦ 35,000"
"Amazon Fire 8 Alexa 16Gb, 8""HD Display 2018 Light Weight Shockproof","₦ 62,000","₦ 79,000"
"Atouch Atouch K88 Kid's Tablet Android 6.1 Tablet, 1GB +8GB, Wifi, Dual Camera - Pouch","₦ 28,000","₦ 79,000"
"Atouch X10 Educational Tablet, 4G Dual Sim, 7 Inch 32GB ROM 3GB RAM With Free Power Bank - Black","₦ 38,500","₦ 40,000"
"Atouch K89 Educational Tablet 16GB ROM, 1GB RAM - Blue","₦ 32,000","₦ 34,500"
"Siccoo Siccoo Siccoo 7inch Kids Educational Tablet Android 6.1,16GB, WiF, Dual Camera With Playstore","₦ 26,500","₦ 34,500"
